,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
28,Enway GmbH,"Enway GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Enway GmbH has       40 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). ",40,"$300,946",2,2.35
29,Smart Reporting GmbH,"Smart Reporting GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Smart Reporting GmbH has       70 employees at this location and generates $2.73 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Smart Reporting GmbH corporate family.",70,$2.73 million,1,2.35
30,Universitätsmedizin Göttingen,"Universitätsmedizin Göttingen is located in Göttingen, Niedersachsen, Germany and is part of the General Medical and Surgical Hospitals Industry. Universitätsmedizin Göttingen has    9,000 employees at this location and generates $545.24 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Universitätsmedizin Göttingen corporate family.","9,000",$545.24 million,1,1.72
32,Heuro Labs GmbH,"Heuro Labs GmbH is located in Berlin, Berlin, Germany and is part of the Other Professional, Scientific, and Technical Services Industry. Heuro Labs GmbH generates $289,000 in sales (USD).  ",,"$289,000",3,2.23
33,The Chainless GmbH,"The Chainless GmbH is located in Freiburg im Breisgau, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. The Chainless GmbH has        9 employees at this location and generates $340,989 in sales (USD). (Sales figure is estimated). ",9,"$340,989",3,2.35
34,IFESCA GmbH,"IFESCA GmbH is located in Ilmenau, Thüringen, Germany and is part of the Computer Systems Design and Related Services Industry. IFESCA GmbH has       30 employees at this location and generates $3.30 million in sales (USD). (Sales figure is estimated). ",30,$3.30 million,1,2.35
35,WUNDERAI GmbH,"WUNDERAI GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. WUNDERAI GmbH has        4 total employees across all of its locations and generates $300,946 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",4,"$300,946",3,2.35
36,abaut GmbH,"abaut GmbH is located in München, Bayern, Germany and is part of the Scientific Research and Development Services Industry. abaut GmbH has       14 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). There are        3 companies in the abaut GmbH corporate family.",14,"$300,946",1,2.23
39,Technische Universität Dortmund,"Technische Universität Dortmund is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Universität Dortmund has    6,507 employees at this location and generates $620.49 million in sales (USD). (Sales figure is modelled). There are       22 companies in the Technische Universität Dortmund corporate family.","6,507",$620.49 million,2,2.23
40,BrainPlug GmbH & Co. KG,"BrainPlug GmbH & Co. KG is located in Braunschweig, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. BrainPlug GmbH & Co. KG has        3 total employees across all of its locations and generates $312,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$312,000",5,2.35
41,Hawa Dawa GmbH,"Hawa Dawa GmbH is located in Gilching, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Hawa Dawa GmbH has       20 employees at this location and generates $118,018 in sales (USD). (Sales figure is estimated). There are        2 companies in the Hawa Dawa GmbH corporate family.",20,"$118,018",3,2.35
43,Universität Leipzig,"Universität Leipzig is located in Leipzig, Sachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Leipzig has    2,363 total employees across all of its locations and generates $225.33 million in sales (USD). (Employees and Sales figures are modelled). There are       74 companies in the Universität Leipzig corporate family.",,$225.33 million,2,2.23
46,ValueData GmbH,"ValueData GmbH is located in Bergisch Gladbach, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ValueData GmbH has        3 total employees across all of its locations and generates $294,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$294,000",2,2.35
47,Hochschule Stralsund,"Hochschule Stralsund is located in Stralsund, Mecklenburg-Vorpommern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Stralsund has        6 total employees across all of its locations and generates $170,000 in sales (USD). (Employees and Sales figures are modelled). ",6,"$170,000",3,2.23
48,Artificial Ecosystems GmbH,"Artificial Ecosystems GmbH is located in Bisterschied, Rheinland-Pfalz, Germany and is part of the Architectural, Engineering, and Related Services Industry. Artificial Ecosystems GmbH has        3 total employees across all of its locations and generates $284,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$284,000",3,2.23
49,Hamburg Messe und Congress GmbH,"Hamburg Messe und Congress GmbH is located in Hamburg, Hamburg, Germany and is part of the Other Support Services Industry. Hamburg Messe und Congress GmbH has      280 employees at this location and generates $124.81 million in sales (USD).  There are      601 companies in the Hamburg Messe und Congress GmbH corporate family.",280,$124.81 million,2,2.23
52,Automotive Artificial Intelligence (AAI) GmbH,"Automotive Artificial Intelligence (AAI) GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Automotive Artificial Intelligence (AAI) GmbH has       40 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). There are        3 companies in the Automotive Artificial Intelligence (AAI) GmbH corporate family.",40,"$300,946",2,2.35
53,Westphalia DataLab GmbH,"Westphalia DataLab GmbH is located in Münster, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. Westphalia DataLab GmbH has       52 employees at this location and generates $8.18 million in sales (USD). (Sales figure is estimated). ",52,$8.18 million,3,2.35
54,Raylytic GmbH,"Raylytic GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Raylytic GmbH has       39 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). ",39,"$300,946",1,2.35
55,scoutbee GmbH,"scoutbee GmbH is located in Hausen b. Würzburg, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. scoutbee GmbH has       55 employees at this location and generates $13.81 million in sales (USD). (Sales figure is estimated). There are        5 companies in the scoutbee GmbH corporate family.",55,$13.81 million,2,2.35
58,thingsTHINKING GmbH,"thingsTHINKING GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. thingsTHINKING GmbH has       18 employees at this location and generates $401,261 in sales (USD). (Sales figure is estimated). ",18,"$401,261",2,2.35
59,5Analytics GmbH,"5Analytics GmbH is located in Köngen, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. 5Analytics GmbH has        9 employees at this location and generates $284,779 in sales (USD).  ",9,"$284,779",5,2.35
60,Imfusion,"Imfusion is located in Orlando, FL, United States.
Imfusion has        5 total employees across all of its locations and generates $47,304 in sales (USD). (Employees and Sales figures are modelled). ",5,"$47,304",,
61,LAYA TECHNOLOGIES,"LAYA TECHNOLOGIES is located in Vizianagaram, Andhra Pradesh, India.
 ",,,,
62,CAS Software AG,"CAS Software AG is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. CAS Software AG has      338 employees at this location and generates $39.76 million in sales (USD).  There are        7 companies in the CAS Software AG corporate family.",338,$39.76 million,1,2.35
63,Opdi-Tex GmbH,"Opdi-Tex GmbH is located in Eresing, Bayern, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Opdi-Tex GmbH has       18 employees at this location and generates $1.44 million in sales (USD). (Sales figure is estimated). ",18,$1.44 million,1,2.48
64,FusionSystems GmbH,"FusionSystems GmbH is located in Chemnitz, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. FusionSystems GmbH has       74 employees at this location and generates $6.14 million in sales (USD). (Sales figure is estimated). ",74,$6.14 million,1,2.35
65,collect Artificial Intelligence GmbH,"collect Artificial Intelligence GmbH is located in Hamburg, Hamburg, Germany and is part of the Software Publishers Industry. collect Artificial Intelligence GmbH has       41 employees at this location and generates $4.09 million in sales (USD). (Sales figure is estimated). There are      908 companies in the collect Artificial Intelligence GmbH corporate family.",41,$4.09 million,1,2.35
66,GfK SE,"
   Need to know who's buying what in Europe? Check with GfK. One of Europe's largest market research firms (and #4 worldwide), GfK (Growth from Knowledge) tracks consumers' tastes in and purchases of grocery and nonfood items, broadcast media, pharmaceuticals, and other merchandise and services worldwide. GfK SE serves automotive, consumer goods, fashion and lifestyle, financial services, health, media and entertainment, public services, retail,","4,650",$1.06 billion,3,2.23
71,DATAGUARD,"DATAGUARD is located in Pune, Maharashtra, India and is part of the Petroleum and Petroleum Products Merchant Wholesalers Industry. DATAGUARD has        8 total employees across all of its locations. (Employees figure is modelled). ",8,,,
