,twitter_handle,Tweets,Likes
169,Nan,Nan,Nan
170,Nan,Nan,Nan
171,encoway,914 Tweets,599
172,EnergyRobotics,74 Tweets,72
173,E4UMobile,64 Tweets,0
174,Nan,Nan,Nan
175,ener_iq,33 Tweets,49
176,biooekonomieDE,"3,991 Tweets",4341
177,enersissuisse,599 Tweets,391
178,Nan,Nan,Nan
179,EnwayTech,176 Tweets,95
180,Nan,Nan,Nan
181,Nan,Nan,Nan
182,ag_evana,315 Tweets,249
183,Digitaler_Staat,"3,147 Tweets",757
184,AdPackTV,2 Tweets,0
185,evotegra,"1,266 Tweets",1402
186,ExB_Labs,"1,561 Tweets",704
187,excentos,124 Tweets,34
188,Nan,Nan,Nan
189,EyeEm,26K Tweets,34215
190,FSDweb,150 Tweets,8
191,finealyze,26 Tweets,30
192,FORCAM_global,"4,254 Tweets",1379
193,FZI_official,"1,931 Tweets",2203
194,FRANKAEMIKA,336 Tweets,209
195,DataVirtuality,714 Tweets,287
196,Fraugster,431 Tweets,537
197,Fraunhofer,"9,802 Tweets",6869
198,Fraunhofer,"9,802 Tweets",6869
199,Fraunhofer,"9,802 Tweets",6869
200,Fraunhofer,"9,802 Tweets",6869
201,Fraunhofer,"9,802 Tweets",6869
202,Nan,Nan,Nan
203,ottobockHQ_de,933 Tweets,734
204,Nan,Nan,Nan
205,Fraunhofer,"9,802 Tweets",6869
206,datanizing,48 Tweets,49
207,Fraunhofer,"9,802 Tweets",6869
208,BMDV_bund,"6,441 Tweets",3776
209,Fraunhofer_AST,571 Tweets,125
210,Fraunhofer_AST,571 Tweets,125
211,Fraunhofer,"9,802 Tweets",6869
212,Fraunhofer,"9,802 Tweets",6869
213,Fraunhofer,"9,802 Tweets",6869
214,freelancer,20.3K Tweets,3901
215,Nan,Nan,Nan
216,UniJena,"1,592 Tweets",1631
217,ptspaper,645 Tweets,528
218,zero_B_S,"1,272 Tweets",872
219,themiszelos,8 Tweets,0
220,FusionSystemsDE,138 Tweets,204
221,GebhardtGroup,777 Tweets,178
222,germanautolabs,"1,013 Tweets",237
223,Fraunhofer,"9,802 Tweets",6869
224,Nan,Nan,Nan
225,AnalyticsGinkgo,415 Tweets,1775
226,BoschGlobal,21.2K Tweets,3817
227,PhotonicsBW,388 Tweets,4
228,Nan,Nan,Nan
229,sidestream_tech,5 Tweets,12
230,goedle_io,480 Tweets,268
231,goetheuni,"6,466 Tweets",1003
232,HSUHamburg,"1,922 Tweets",2310
233,DFKI,"3,435 Tweets",8135
234,goetting_de,"1,484 Tweets",60
235,ChildGrowthMon,139 Tweets,35
236,GreenPocketGmbH,679 Tweets,105
237,HCUHamburg,"3,101 Tweets",1762
238,TIBHannover,"9,218 Tweets",8338
239,hahnschickard,212 Tweets,103
240,home,,0
241,mein_hamburg,"4,099 Tweets",6248
242,hawadawalabs,500 Tweets,442
243,HDVisionSystems,,362
244,healthcarexnull,191 Tweets,17
245,Henkel,"4,375 Tweets",2357
246,Nan,Nan,Nan
247,UniHannover,,289
248,PROJHEART,239 Tweets,68
249,th_ingolstadt,"1,604 Tweets",82
250,Nan,Nan,Nan
251,iccasLeipzig,219 Tweets,192
252,HeuroLabs,428 Tweets,90
253,HHLA_IR,,Nan
254,HsHannover,394 Tweets,311
255,hsmw,829 Tweets,423
256,Solactive,504 Tweets,230
257,Nan,Nan,Nan
258,HS_Stralsund,264 Tweets,135
259,i2x_ai,403 Tweets,202
260,IDnowGmbH,954 Tweets,884
261,IDS_Imaging,816 Tweets,517
262,ifescaGmbH,123 Tweets,94
263,Nan,Nan,Nan
264,PSIAG,"1,707 Tweets",617
265,xbirdhealth,,Nan
266,Nan,Nan,Nan
267,LeibnizIGB,"1,644 Tweets",1709
268,I4L_org,116 Tweets,137
269,Innoplexus,"1,115 Tweets",297
270,Insius,41 Tweets,1
271,DFKI,"3,435 Tweets",8135
272,Nan,Nan,Nan
273,Nan,Nan,Nan
274,intergator,"1,590 Tweets",316
275,IodataTweets,438 Tweets,15
276,IPH_Hannover,520 Tweets,612
277,IPlytics,300 Tweets,173
278,ispredict,200 Tweets,72
279,Nan,Nan,Nan
280,_david_lenz_,98 Tweets,168
281,items_GmbH,670 Tweets,1483
282,RapidMiner,"7,456 Tweets",4678
283,ITyX,"1,020 Tweets",15
284,Kauz_ai,"1,519 Tweets",601
285,Nan,Nan,Nan
286,ADTELLIGENCE,"5,926 Tweets",59
287,Nan,Nan,Nan
288,KewazoRobotics,203 Tweets,206
289,ki_elements,108 Tweets,103
290,Nan,Nan,Nan
291,realKinemic,63 Tweets,86
292,InterRed_CMS,911 Tweets,448
293,KleosAi,107 Tweets,19
294,Nan,Nan,Nan
295,UniFAU,13.9K Tweets,12181
296,kopernikusauto,10 Tweets,9
297,UKJ_Jena,"1,229 Tweets",598
298,UniCologne,"8,059 Tweets",6893
299,kps_aghq,299 Tweets,96
