,company,
222,assono gmbh,
223,landescloud gmbh,
224,bruderhausdiakonie,
225,enlyze gmbh,
226,man truck & bus ag,
227,energy4u,
228,latentine gmbh,
229,bartz & bartz gmbh,
230,certaintylab ug,
231,precire technologies gmbh,
232,edi gmbh,
233,candis,
234,fahrzeugsystemdaten gmbh,
235,umwelt-campus birkenfeld der hochschule trier,
236,aaron gmbh,
237,interface projects gmbh,
238,hiersemann prozessautomation gmbh,
239,hentschel system gmbh,
240,fraunhofer-institut für digitale medientechnologie idmt,
241,149 technologies gmbh,
242,cellmatiq gmbh,
243,computomics gmbh,
244,paragon semvox gmbh,
245,tu clausthal,
246,dialego ag,
247,leibniz-informationszentrum wirtschaft - zbw,
248,fraunhofer-institut für biomedizinische technik ibmt,
249,fraunhofer-institut für software- und systemtechnik isst,
250,helmholtz zentrum münchen,
251,logarithmo gmbh & co.kg,
252,technische hochschule ingolstadt,
253,segment of one (so1),
254,mainzer stadtwerke ag,
255,fzi forschungszentrum informatik,
256,universität konstanz,
257,universität duisburg-essen,
258,ruhr universität bochum,
259,kps ag,
260,universität augsburg,
261,ben energy gmbh,
262,gestalt robotics gmbh,
263,ottobock se & co. kgaa,
264,artisense,
265,julius-maximilians-universität würzburg,
266,max-planck-institut für molekulare genetik,
267,targomo gmbh,
268,universität stuttgart,
269,dfki standort bremen,
270,fortiss gmbh,
271,datanizing gmbh,
272,lindera gmbh,
273,technische universität ilmenau,
274,stadtwerke münchen gmbh,
275,sensape gmbh,
276,ai4bd deutschland gmbh,
277,zeitgold,
278,german auto labs gal gmbh,
279,accenture,
280,cognigy gmbh,
281,taxy.io gmbh,
282,simi reality motion systems,
283,karlsruher institut für technologie (kit),
284,dci digital car institute gmbh,
285,fraunhofer-institut für offene kommunikationssysteme fokus,
286,nordzucker ag,
287,delicious data gmbh,
288,rhebo gmbh,
289,hafencity universität hamburg,
290,forcam gmbh,
291,ida indoor advertising gmbh,
292,synergist.io gmbh,
293,cib software gmbh,
294,100 worte sprachanalyse gmbh,
295,bayerisches landesamt für gesundheit und lebensmittelsicherheit,
296,franka emika,
297,cargonexx gmbh,
298,dabbel - automation intelligence gmbh,
299,energy robotics gmbh,
300,items gmbh,
301,fraunhofer-institut für industrielle automation iosb-ina,
302,energycortex gmbh,
303,twenty billion neurons gmbh,
304,goedle.io gmbh,
305,technische universität kaiserslautern,
306,leverton,
307,planqk,
308,otto-von-guericke-universität magdeburg,
309,unternehmertum,
310,idnow gmbh,
311,rheinisch-westfälische technische hochschule aachen,
312,docyet ug,
313,deutsches zentrum für luft- und raumfahrt e. v. (dlr),
314,ettrak gmbh,
315,scalable minds gmbh,
316,rfrnz gmbh,
317,eoda gmbh,
318,othoz gmbh,
319,eemagine medical imaging solutions gmbh,
320,kewazo gmbh,
321,dennemeyer octimine,
322,just add ai gmbh,
323,enginsight gmbh,
324,envia mitteldeutsche energie ag,
325,pan amp ag,
326,bitburger braugruppe gmbh,
327,kinemic gmbh,
328,webdata solutions gmbh,
329,embeteco gmbh & co. kg,
330,"fraunhofer-institut für gießerei-, composite- und verarbeitungstechnik igcv",
331,twt gmbh,
332,empolis information management gmbh,
333,ada health gmbh,
334,fraunhofer-institut für bildgestützte medizin mevis,
335,dfki standort berlin,
336,neohelden gmbh,
337,cobrainer gmbh,
338,friedrich-schiller-universität jena,
339,technische universität münchen,
340,binder introbest gmbh,
341,hochschule für angewandte wissenschaften hamburg,
342,aigrow,
343,is predict gmbh,
344,encoway gmbh,
345,sikom software gmbh,
346,robotron datenbank-software gmbh,
347,kuka ag,
348,emsu gmbh,
349,sematell gmbh,
350,offis - institut für informatik,
351,fuse-ai,
352,pair finance,
353,planet ai gmbh,
354,green spin gmbh,
355,solvemate,
356,hochschule für angewandte wissenschaft und kunst hildesheim/holzminden/göttingen (hawk),
357,planblue gmbh,
358,informatics for life institute,
359,pricewaterhousecooper,
360,lufthansa industry solutions gmbh,
361,tawny gmbh,
362,adtelligence gmbh,
363,universität zu lübeck,
364,friedrich-alexander-universität erlangen-nürnberg,
365,papiertechnische stiftung (pts),
366,institut für zuckerrübenforschung (ifz),
367,institut für digitale assistenzsysteme e.v.,
368,retresco gmbh,
369,clinomic gmbh,
370,parlamind gmbh,
371,chimaera gmbh,
372,innoplexus ag,
373,theum ag,
374,3dvisionlabs gmbh,
375,symate gmbh,
376,videmo intelligente videoanalyse gmbh & co. kg,
377,innovation center computer assisted surgery iccas,
378,omq gmbh,
379,hochschule aalen,
380,db systel gmbh,
381,fraunhofer-institut für keramische technologien und systeme ikts,
382,nyris gmbh,
383,ax semantics gmbh,
384,sdac (smart design and construction),
385,götting kg,
386,ditf,
387,astyx gmbh,
388,voith gmbh & co. kgaa,
389,solactive ag,
390,adbonitas gmbh,
391,welthungerhilfe e.v.,
392,dillinger hüttenwerke,
393,i2x gmbh,
394,iodata gmbh,
395,eccenca gmbh,
396,iplytics gmbh,
397,enway gmbh,
398,smart reporting gmbh,
399,universitätsmedizin göttingen,
400,heuro labs gmbh,
401,the chainless gmbh,
402,ifesca gmbh,
403,wunderai gmbh,
404,abaut gmbh,
405,technische universität dortmund,
406,brainplug gmbh & co. kg,
407,leibniz-institut für zoo- und wildtierforschung,
408,hawa dawa gmbh,
409,deutscher wetterdienst (dwd),
410,build.ing consultants innovators gmbh,
411,universität leipzig,
412,smart in media,
413,flughafen stuttgart,
414,valuedata gmbh,
415,kleos gmbh,
416,aiso-lab gmbh,
417,breeze technologies,
418,hochschule stralsund,
419,commerzbank,
420,coraixx gmbh & co. kg,
421,gini gmbh,
422,studiengesellschaft für tunnel und verkehrsanlagen e. v. (stuva),
423,artificial ecosystems gmbh,
424,hamburg messe und congress gmbh,
425,fraunhofer-institut für integrierte schaltungen iis,
426,automotive artificial intelligence (aai) gmbh,
427,westphalia datalab gmbh,
428,epicinsights,
429,centogene ag,
430,technische hochschule rosenheim,
431,4traffic gbr,
432,raylytic gmbh,
433,fraunhofer-institut für algorithmen und wissenschaftliches rechnen scai,
434,scoutbee gmbh,
435,thingsthinking gmbh,
436,trebing & himstedt prozeßautomation gmbh & co. kg,
437,dfki standort kaiserslautern,
438,bürgerwindpark hohenlohe gmbh,
439,s&n invent,
440,"deutsches zentrum für luft- und raumfahrt, standort bremen",
441,fraunhofer-institut für arbeitswirtschaft und organisation iao,
442,fraunhofer-institut für fabrikbetrieb und -automatisierung iff,
443,christian-albrechts-universität zu kiel,
444,leibniz-institut für gewässerökologie und binnenfischerei (igb),
445,siemens ag,
446,5analytics gmbh,
447,imfusion,
448,laya technologies,
449,cas software ag,
450,premium aerotec,
451,opdi-tex gmbh,
452,4cast gmbh & co. kg,
453,fraunhofer-institut für produktionsanlagen und konstruktionstechnik ipk,
454,fusionsystems gmbh,
455,fraunhofer-institut für entwurfstechnik mechatronik iem,
456,collect artificial intelligence gmbh,
457,bayes esports,
458,"fraunhofer-institut für optronik, systemtechnik und bildauswertung iosb/ast",
459,govii ug,
460,ginkgo analytics,
461,gfk se,
462,blackout technologies ug,
463,henkel + roth gmbh,
464,privacy solutions gmbh,
465,dataguard,
466,logistik-initiative hamburg management gmbh,
467,meteolytix gmbh,
468,aiui,
469,ifp software gmbh,
470,next data service ag,
471,2txt – natural language generation gmbh,
472,technologie-initiative smartfactory kl e.v.,
473,birds on mars gmbh,
474,twaice technologies gmbh,
475,fraunhofer-institut für produktionstechnik und automatisierung ipa,
476,batix gmbh,
477,krohne messtechnik gmbh,
478,leibniz-institut für pflanzengenetik und kulturpflanzenforschung,
479,landesbetrieb verkehr,
480,universität bayreuth,
481,hochschule mittweida,
482,helmut-schmidt-universität,
483,universitätsklinikum jena,
484,hochschule kempten,
485,aiserve technologies gmbh,
486,vitas.ai,
487,vilisto gmbh,
488,helmholtz institut erlangen-nürnberg,
489,circular economy solutions gmbh (c-eco),
490,raypack.ai gmbh,
491,borderstep institut für innovation und nachhaltigkeit gemeinnützige gmbh,
492,charité – universitätsmedizin berlin,
493,pegalion gmbh & co. kg,
494,wtsai gmbh,
495,dfki standort osnabrück/oldenburg,
496,institut für sozialwissenschaftliche forschung e.v. / isf münchen,
497,dermalog identification systems gmbh,
498,fraunhofer-gesellschaft,
499,universität hohenheim,
500,b. braun melsungen ag,
501,kopernikus automotive gmbh,
502,luminovo ai gmbh,
503,architrave gmbh,
504,universität siegen,
505,tiq solutions gmbh,
506,mechlab engineering,
507,exb labs gmbh,
508,adigi gmbh,
509,paradatec parallele datentechnik gmbh,
510,universität bielefeld,
511,cloudflight gmbh,
512,panda gmbh,
513,picsure,
514,understandai gmbh,
515,artiminds robotics gmbh,
516,toposens gmbh,
517,leibniz-institut dsmz-deutsche sammlung von mikroorganismen und zellkulturen gmbh,
518,wandelbots gmbh,
519,sota solutions gmbh,
520,sick ag,
521,evotegra gmbh,
522,zerobs gmbh,
523,interred gmbh,
524,melody scanner ug,
525,tenzir,
526,universität zu köln,
527,apic.ai,
528,imedalytics,
529,hamburger informatik technologie-center e.v. (hitec),
530,konux,
531,thd - technische hochschule deggendorf,
532,disy informationssysteme gmbh,
533,ityx solutions ag,
534,fraunhofer-institut für angewandte informationstechnik fit,
535,hochschule schmalkalden,
536,masasana ai,
537,risk.ident gmbh,
538,ergosign gmbh,
539,technische universität berlin,
540,daimler buses- evobus gmbh,
541,bleenco gmbh,
542,fraunhofer-center für maritime logistik und dienstleistungen cml,
543,skylab gmbh,
544,greenpocket gmbh,
545,oncoray – nationales zentrum für strahlenforschung in der onkologie,
546,rheinische friedrich-wilhelms-universität bonn,
547,psi fls fuzzy logik & neuro systeme gmbh,
548,azo gmbh & co kg,
549,micropsi industries gmbh,
550,tib – leibniz-informationszentrum technik und naturwissenschaften und universitätsbibliothek,
551,peter l. reichertz institut für medizinische informatik,
552,robert bosch gmbh,
553,klingel gruppe,
554,digital helix gmbh,
555,sempria gmbh,
556,ki-elements,
557,semic rf electronic gmbh,
558,fraunhofer-institut für experimentelles software engineering iese,
559,seerene,
560,heliopas.ai gmbh,
561,goethe universität frankfurt,
562,fraunhofer-institut für zerstörungsfreie prüfverfahren izfp,
563,buildingradar,
564,hensel recycling gmbh,
565,universität rostock,
566,cewe stiftung & co. kgaa,
567,htw saar,
568,conpolicy gmbh,
