,id,label,description,instance,employees,TwitterUser,SocialMediaFollowers,Revenue
161,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
162,Q101835971,Universität Rostock Historisches Institut,research institute,research institute,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,Q30284737,Deutschen Institute für Textil und Faserforschung,"facility in Denkendorf, Germany",facility,,,,
167,,,,,,,,
168,Q161976,University of Würzburg,university in Germany,public university,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,Q47513975,BMW Group Plant Spartanburg,,BMW-fabriek,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,Q157617,Commerzbank,major commercial bank,bank,+49417,commerzbank,+15936,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,Q30315635,Twyla,female given name,female given name,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,Q101380903,Otto-von-Guericke-Universität Magdeburg Medizinische Fakultät,medical school,medical school,,,,
212,,,,,,,,
213,,,,,,,,
214,Q40025,University of Erlangen-Nuremberg,"public research university in the cities of Erlangen and Nuremberg in Bavaria, Germany",public research university,,UniFAU,+8271,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
